,data_tweets,data_labels
0,Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a lifetime of joy and happiness together.,1.0
1,"From the Obama family to yours, we wish you a Happy Thanksgiving full of joy and gratitude. ",1.0
2,"ME:  Joe, about halfway through the speech, I’m gonna wish you a happy birth--
BIDEN:  IT’S MY BIRTHDAY!
ME:  Joe.
 
Happy birthday to @JoeBiden, my brother and the best vice president anybody could have. ",1.0
3,"RT @ObamaFoundation: Today, we honor those who have honored our country with its highest form of service. https://t.co/IbJNCwIofL ",1.0
4,"This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all the victors in state legislative, county and mayors' races. Every office in a democracy counts!",1.0
5,Every election matters - those who show up determine our future. Go vote tomorrow! ,1.0
6,May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.,1.0
7,"We grieve with all the families in Sutherland Springs harmed by this act of hatred, and we’ll stand with the survivors as they recover...",1.0
8,"Starting today, you can sign up for 2018 health coverage. Head on over to https://t.co/ob1Ynoesod and find a plan that meets your needs. ",1.0
9,Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come.,1.0
10,"Hello, #ObamaSummit! Thrilled to host civic leaders in Chicago from all over the world. Follow along at @ObamaFoundation.",1.0
11,"I’ll let you and @ladygaga handle the singing, and we’ll handle the donations. There’s still time to give: https://t.co/o5oCWOtiJS. ",1.0
12,Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this year’s hurricanes. Join us. ,1.0
13,"I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations, John, on receiving this year's Liberty Medal.",1.0
14,Michelle &amp; I are praying for the victims in Las Vegas. Our thoughts are with their families &amp; everyone enduring another senseless tragedy.,1.0
15,Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country. ,1.0
16,"We're expanding our efforts to help Puerto Rico &amp; the USVI, where our fellow Americans need us right now. Join us at https://t.co/o5oCWOtiJS ",1.0
17,"Prosecutor, soldier, family man, citizen. Beau made us want to be better. What a legacy to leave. What a testament to @JoeBiden. ",1.0
18,RT @gatesfoundation: President @BarackObama addresses #Goalkeepers17 starting at 12:40 PM. Tune in here: ,1.0
19,Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.,1.0
20,"Coding is important – and fun. @CSforAll, thanks for your work to make sure every kid can compete in a high-tech, global economy. ",1.0
21,Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're getting started this fall. ,1.0
22,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.,1.0
23,"RT @GeorgeHWBush: Across the U.S., Americans have answered the call to help with hurricane recovery. Praying for all Floridians. #Irma http…",1.0
24,Proud of these McKinley Tech students—inspiring young minds that make me hopeful about our future. ,1.0
25,Americans always answer the call. https://t.co/SV1jixOExu ,1.0
26,"To target hopeful young strivers who grew up here is wrong, because they’ve done nothing wrong. My statement: ",1.0
27,Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one way you can help now. ,1.0
28,Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.,1.0
29,"""...For love comes more naturally to the human heart than its opposite."" - Nelson Mandela",1.0
30,"""People must learn to hate, and if they can learn to hate, they can be taught to love...""",1.0
31,"""No one is born hating another person because of the color of his skin or his background or his religion..."" ",1.0
32,"John McCain is an American hero &amp; one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell, John.",1.0
33,Health care has always been about something bigger than politics: it's about the character of our country. ,1.0
34,"Of all that I've done in my life, I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad, Happy Father's Day! ",1.0
35,"On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun violence. ",1.0
36,Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we love. ,1.0
37,Good to see my friend Prince Harry in London to discuss the work of our foundations &amp; offer condolences to victims of the Manchester attack. ,1.0
38,"Through faith, love, and resolve the character of the people of Manchester has shown itself.  Our thoughts &amp; prayers are with you. ",1.0
39,Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.,1.0
40,"Excited to hear from Sierra, Imani, Filiz, and Benedikt who are making a difference at home and abroad. See you in Berlin! ",1.0
41,"Happy Mother's Day to my love and partner on this journey @MichelleObama, and to all the wonderful, hardworking mothers out there.",1.0
42,"We're rolling up our sleeves again, back where it all started. Join us at https://t.co/GYkEOK8EuT. ",1.0
