,data_tweets,data_labels
0,RT @FLOTUS: Open enrollment starts tomorrow! Check out your options at https://t.co/dg57hwz5of and share your #GetCovered story. ,1.0
1,Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: ,1.0
2,Thanks to @SenateMajLdr McConnell and the @SenateGOP we are appointing high-quality Federal District...,0.0
3,Congress must end chain migration so that we can have a system that is SECURITY BASED! We need to make AMERICA SAFE! #USA?? ,0.0
4,....This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?,0.0
5,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.,1.0
6,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: ,1.0
7,"Thank you to the GREAT NYPD, First Responders and all govt officials for having handled the terrible West Side attack so professionally! ",0.0
8,"The Al Frankenstien picture is really bad, speaks a thousand words. Where do his hands go in pictures 2, 3, 4, 5 &amp; 6 while she sleeps? .....",0.0
9,...There is also something appropriate about keeping him in the home of the horrible crime he committed. Should move fast. DEATH PENALTY!,0.0
10,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: ",1.0
11,"RT @SecBurwell: Most people shopping on @HealthCareGov will again find plans with premiums of less than $75/month, thanks to financial assi…",1.0
12,"I have great confidence in King Salman and the Crown Prince of Saudi Arabia, they know exactly what they are doing....",0.0
13,"....your release possible and, HAVE A GREAT LIFE! Be careful, there are many pitfalls on the long and winding road of life!",0.0
14,".@FoxNews is MUCH more important in the United States than CNN, but outside of the U.S., CNN International is still a major source of (Fake) news, and they represent our Nation to the WORLD very poorly. The outside world does not see the truth from them!",0.0
15,"Ed Gillespie worked hard but did not embrace me or what I stand for. Don’t forget, Republicans won 4 out of 4 House seats, and with the economy doing record numbers, we will continue to win, even bigger than before!",0.0
16,"Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then we’ll get back to work.",1.0
17,The economic progress we've made is undeniable—let's keep it up. ,1.0
18,"As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their obstruction. #DoYourJob ",1.0
19,"We're rolling up our sleeves again, back where it all started. Join us at https://t.co/GYkEOK8EuT. ",1.0
20,"Cynics, take note: When we #ActOnClimate, we build a stronger future. ",1.0
21,Our great country is respected again in Asia. You will see the fruits of our long but successful trip for many years to come!,0.0
22,Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a lifetime of joy and happiness together.,1.0
23,I have long given the order to help Argentina with the Search and Rescue mission of their missing submarine. 45 people aboard and not much time left. May God be with them and the people of Argentina!,0.0
24,Happy #FirstDayofFall. ,1.0
